Timestamp,IP,Method,ThreatType,Action
2025-08-03T18:21:00.326Z,192.168.0.2,POST,malware detected,Blocked
2025-08-03T18:21:00.333Z,172.16.0.1,POST,scan attempt,Logged
2025-08-03T18:21:00.337Z,8.8.8.8,GET,attack vector,Alerted
2025-08-03T18:22:10.120Z,10.0.0.5,PUT,DDoS,Blocked
2025-08-03T18:23:44.908Z,192.168.1.100,DELETE,suspicious payload,Logged
2025-08-03T18:25:11.431Z,203.0.113.4,POST,SQL injection,Blocked
2025-08-03T18:26:55.100Z,198.51.100.23,GET,XSS attack,Alerted
2025-08-03T18:28:19.871Z,10.10.10.10,HEAD,RCE attempt,Blocked
2025-08-03T18:30:02.501Z,172.31.255.255,PATCH,unauthorized access,Alerted
2025-08-03T18:32:45.003Z,192.0.2.12,OPTIONS,credential stuffing,Logged
2025-08-03T18:35:00.000Z,192.168.1.100,POST,malware detected,Blocked
2025-08-03T18:36:00.000Z,203.0.113.4,POST,SQL injection,Blocked
2025-08-03T18:36:30.000Z,203.0.113.4,POST,SQL injection,Alerted
2025-08-03T18:37:00.000Z,10.0.0.5,GET,DDoS,Blocked
2025-08-03T18:38:00.000Z,10.0.0.5,POST,DDoS,Blocked
2025-08-03T18:39:00.000Z,10.0.0.5,PUT,DDoS,Blocked
2025-08-03T18:40:00.000Z,198.51.100.23,POST,XSS attack,Logged
2025-08-03T18:41:00.000Z,198.51.100.23,GET,XSS attack,Alerted
2025-08-03T18:42:00.000Z,198.51.100.23,DELETE,XSS attack,Logged
2025-08-03T18:43:00.000Z,8.8.8.8,GET,attack vector,Alerted
2025-08-04T18:25:13.652Z,8.8.8.9,GET,malware detected,Blocked
2025-08-04T18:25:54.764Z,8.8.8.20,GET,malware detected,Logged
2025-08-04T19:54:57.711Z,8.8.8.40,GET,malware detected,Alerted
2025-08-05T19:05:28.018Z,8.8.8.60,GET,malware detected,Blocked
